batch_id,protein_class,titer,blood_type,volume_l,collection_date,expiry_date,compliance
B00396,Albumin,low,O+,44.25,2025-10-09,2025-12-14,ok
B00397,IgG,med,B-,49.05,2025-09-18,2025-10-12,hold
B00398,IgG,med,B+,10.64,2025-09-17,2025-11-21,ok
B00399,IgG,med,B-,43.58,2025-09-29,2025-11-23,ok
B00400,Albumin,med,B+,58.59,2025-10-14,2025-11-11,ok
B00401,IgG,low,AB+,52.49,2025-09-20,2025-11-05,ok
B00402,Albumin,low,AB-,62.31,2025-10-13,2025-11-04,ok
B00403,Albumin,low,A-,84.73,2025-10-13,2025-11-06,ok
B00404,IgG,med,AB+,20.78,2025-09-17,2025-10-24,ok
B00405,IgG,high,AB-,61.88,2025-09-24,2025-11-21,ok
B00406,IgG,high,AB+,16.8,2025-09-27,2025-11-03,ok
B00407,IgG,med,B-,50.45,2025-10-07,2025-11-21,ok
B00408,IgG,high,AB-,56.63,2025-09-23,2025-11-15,ok
B00409,IgG,med,AB-,71.06,2025-09-27,2025-11-18,ok
B00410,IgG,med,O-,11.3,2025-10-15,2025-11-23,ok
B00411,IgG,high,B+,47.31,2025-09-26,2025-11-05,ok
B00412,IgG,med,B-,30.16,2025-09-28,2025-11-01,ok
B00413,IgG,med,B-,58.36,2025-09-19,2025-10-23,ok
B00414,IgG,low,AB-,36.89,2025-09-21,2025-10-21,ok
B00415,Fibrinogen,high,O+,10.45,2025-10-07,2025-11-22,ok
B00416,IgG,med,B+,72.2,2025-09-21,2025-11-29,ok
B00417,Albumin,med,B+,44.36,2025-10-15,2025-12-16,ok
B00418,Albumin,high,O+,31.17,2025-09-24,2025-10-29,ok
B00419,IgG,low,B-,10.62,2025-10-07,2025-10-29,ok
B00420,IgG,med,O-,22.62,2025-09-22,2025-10-22,ok
B00421,IgG,med,B+,46.3,2025-09-24,2025-11-24,ok
B00422,IgG,high,B+,42.04,2025-10-10,2025-11-01,ok
B00423,IgG,med,B-,47.91,2025-10-11,2025-12-11,ok
B00424,IgG,med,AB-,31.14,2025-10-14,2025-11-29,ok
B00425,IgG,med,AB+,53.94,2025-09-22,2025-10-25,ok
B00426,IgG,med,O-,55.58,2025-09-30,2025-10-31,ok
B00427,IgG,med,B-,51.63,2025-09-30,2025-11-15,ok
B00428,IgG,med,AB-,27.73,2025-10-01,2025-12-04,ok
B00429,Fibrinogen,low,AB+,34.51,2025-10-15,2025-11-25,ok
B00430,Albumin,low,AB-,50.77,2025-10-15,2025-11-11,ok
B00431,IgG,med,O+,60.44,2025-10-05,2025-11-03,ok
B00432,Fibrinogen,med,AB+,37.14,2025-10-09,2025-12-17,ok
B00433,Fibrinogen,low,B+,3.0,2025-09-20,2025-10-11,ok
B00434,Albumin,high,AB+,24.71,2025-09-25,2025-11-10,ok
B00435,IgG,med,O+,3.0,2025-10-09,2025-11-17,ok
B00436,IgG,low,A-,51.44,2025-10-09,2025-11-29,ok
B00437,IgG,med,B-,54.74,2025-10-06,2025-11-06,ok
B00438,Fibrinogen,med,A-,51.51,2025-10-12,2025-11-01,ok
B00439,IgG,med,O+,12.64,2025-09-26,2025-11-29,ok
B00440,Albumin,med,B-,37.5,2025-09-23,2025-11-17,ok
B00441,IgG,high,AB+,57.53,2025-10-10,2025-11-25,ok
B00442,Albumin,med,O+,42.12,2025-09-25,2025-11-04,ok
B00443,IgG,med,O+,87.78,2025-10-13,2025-12-20,ok
B00444,Albumin,med,AB-,40.91,2025-09-28,2025-11-08,ok
B00445,Albumin,low,A+,33.89,2025-10-08,2025-11-03,ok
B00446,IgG,low,AB+,50.04,2025-09-29,2025-12-02,ok
B00447,IgG,med,A+,14.71,2025-09-26,2025-11-23,ok
B00448,Albumin,low,O-,48.45,2025-10-12,2025-11-18,ok
B00449,Albumin,low,B-,49.02,2025-10-01,2025-11-22,ok
B00450,IgG,med,AB+,17.08,2025-10-03,2025-12-02,ok
B00451,Albumin,low,O+,32.54,2025-09-18,2025-11-20,ok
B00452,IgG,low,A-,62.22,2025-10-08,2025-11-12,ok
B00453,Albumin,low,B-,77.0,2025-10-10,2025-11-23,ok
B00454,IgG,low,A+,59.31,2025-09-24,2025-11-02,ok
B00455,Albumin,high,AB+,62.1,2025-09-19,2025-10-28,ok
B00456,Albumin,low,AB-,66.24,2025-09-18,2025-11-08,ok
B00457,IgG,med,O-,47.85,2025-09-22,2025-11-09,ok
B00458,Albumin,low,O+,39.93,2025-09-20,2025-10-19,ok
B00459,IgG,med,B-,70.0,2025-10-13,2025-11-26,ok
B00460,Albumin,low,AB+,38.23,2025-10-14,2025-12-09,ok
B00461,IgG,low,B+,54.86,2025-10-13,2025-12-06,ok
B00462,IgG,med,A+,67.41,2025-10-08,2025-11-18,ok
B00463,IgG,med,O+,60.94,2025-09-17,2025-10-30,ok
B00464,IgG,med,O+,50.44,2025-09-19,2025-11-25,ok
B00465,Fibrinogen,high,AB-,46.89,2025-10-14,2025-12-02,ok
B00466,Albumin,low,O-,42.02,2025-10-08,2025-12-06,ok
B00467,Fibrinogen,med,AB+,20.54,2025-10-08,2025-11-19,hold
B00468,Albumin,med,A+,55.07,2025-10-07,2025-11-14,ok
B00469,Albumin,low,O+,50.65,2025-09-29,2025-11-18,ok
B00470,IgG,med,AB-,10.72,2025-10-10,2025-11-25,ok
B00471,IgG,med,AB-,41.62,2025-09-21,2025-10-20,ok
B00472,IgG,low,O+,39.2,2025-10-02,2025-11-15,ok
B00473,IgG,med,A-,21.5,2025-09-23,2025-11-27,ok
B00474,Fibrinogen,low,AB+,76.32,2025-10-07,2025-11-30,ok
B00475,IgG,low,B-,11.23,2025-09-21,2025-10-31,ok
B00476,IgG,med,O-,34.2,2025-10-03,2025-11-20,ok
B00477,Albumin,low,B+,20.47,2025-10-04,2025-11-30,ok
B00478,IgG,med,A+,31.39,2025-09-21,2025-10-31,ok
B00479,IgG,med,O-,74.05,2025-10-07,2025-11-18,ok
B00480,IgG,high,A+,41.81,2025-10-12,2025-11-22,ok
B00481,Albumin,low,AB+,47.73,2025-10-03,2025-11-30,ok
B00482,IgG,med,A-,42.91,2025-09-20,2025-10-14,ok
B00483,Fibrinogen,low,A+,32.91,2025-09-19,2025-11-20,ok
B00484,Albumin,low,A-,57.18,2025-10-06,2025-12-06,ok
B00485,IgG,low,O+,66.34,2025-10-09,2025-12-13,ok
B00486,Fibrinogen,med,O+,43.9,2025-10-06,2025-11-17,ok
B00487,Albumin,med,AB+,73.07,2025-10-08,2025-11-14,ok
B00488,Albumin,low,O+,36.92,2025-10-13,2025-12-04,ok
B00489,IgG,low,O+,40.42,2025-10-04,2025-11-14,ok
B00490,IgG,low,AB-,39.03,2025-10-11,2025-12-14,ok
B00491,IgG,med,B-,40.05,2025-10-02,2025-12-02,ok
B00492,IgG,low,B-,52.3,2025-10-09,2025-11-13,ok
B00493,Albumin,med,O+,49.93,2025-10-11,2025-11-07,ok
B00494,Albumin,high,O-,77.48,2025-10-10,2025-11-03,ok
B00495,Albumin,low,A-,73.24,2025-10-04,2025-11-01,ok
B00496,IgG,med,B+,71.12,2025-10-06,2025-12-05,ok
B00497,Albumin,med,AB-,33.54,2025-10-12,2025-12-14,ok
B00498,IgG,med,A+,54.41,2025-09-22,2025-11-12,ok
B00499,IgG,med,B-,36.69,2025-10-06,2025-12-11,ok
